username,page_rank
iitarc,0.04712573101692761
iitalumniassn,0.020934992581882007
IITCampusLife,0.019643586503471637
illinoistech,0.018940865980668825
IITCareers,0.018007539707371633
IITSci_Letters,0.016679421124175527
GalvinLibrary,0.01630656958383667
IITCommunity,0.014007776113233993
IITEngineering,0.013613178349377492
IITHumanScience,0.013042252244632844
IITStuart,0.012203049665422674
IITAdmission,0.012096291453617935
IITFacilities,0.011940362127481837
IIT_HUM,0.0112355920278577
ILTechAthletics,0.010963696782216514
iitsga,0.010627977757975495
IITPsychology,0.010578097385541127
IIT_ITM,0.010574742077040806
IIT_OneStopShop,0.009828730858117437
IITGradRecruit,0.009804039215637194
IITSHWC,0.008898299094216577
IITORL,0.00889309443606024
TechNewsIIT,0.008643496145624137
IITPublicSafety,0.00839301136885973
IITComputing,0.007872219174362734
iitunionboard,0.0076129533862954015
kjstetz,0.0069099680035938785
iitcsdept,0.006839787136383393
iitentrepreneur,0.006789207858178243
BogIIT,0.006506854206808199
iitgreen,0.0064472428838339094
IllinoisTechGLP,0.006299583367290423
SpirituaLifeIIT,0.00606764050570127
KaplanInstitute,0.005697216230652888
IITcareerservic,0.005597155053610231
IITLeadershipAc,0.005449820392452008
iitwhiteboard,0.0053176576182628965
PrismIIT,0.0051326052832510365
IITGreekCouncil,0.00501477049090402
IIT_Tech_Park,0.004934955621985061
IITFaculty,0.004728467735936897
ShimerSchool,0.004468367192010218
IPROatIIT,0.00446193739632841
IntiniumGroup,0.004440236504064707
Commons_IIT,0.00436074376383876
IITStudentsAct,0.0042814852490014686
MikeGosz,0.004152729945456264
triangleIIT,0.004043244851027596
WDavid_IllTech,0.00388873783664162
BSU_IIT,0.0038863854794585688
jmille38,0.003886073585653103
WIITChicago,0.0038372504437491355
ESW_IIT,0.003799036886565531
DigIITalArchFab,0.003733874872629987
iiiop28234859,0.0036948621044530974
IITSOAR_Leo,0.0036306488204347234
ShuBeorNotShuBe,0.003560757608536081
SameerS45569163,0.003375779811712327
iitdelts,0.0033597569925327545
lwoods531,0.003319386956918702
LuisLarco,0.003301694531047697
RossTLudwig,0.003268881662118361
gpdoyle,0.0032476417573628113
iitipro,0.003194345325413982
PritzkerClub,0.0030343675091896007
IITSocSciences,0.003010435155647814
TheNextGenAIR,0.002948110486102913
Positivelyposit,0.0028470316132158894
ASO_IIT,0.0028268783940310887
SistersOnCampus,0.002807961576688791
WW_Lopez72,0.002791893091771764
MTCCLateNiite,0.002726926034686875
iit_acmw,0.002722998501670262
MiesSociety,0.0027165395008753807
IITSOAR_Jacob,0.0026921338464863803
33rdiit,0.002663043259609168
Sankar11134207,0.002642492012343018
iitcin,0.002639576687536377
AiaaTech,0.002629690718660446
iit_ccc,0.0025910042965225583
cityzenlab,0.0025866350209997916
ShilaBorse,0.0025573645029573224
IITSOAR_Rahul,0.0025343344399124494
iitideashop,0.0025322538932462165
fscillinoistech,0.0025174544027771655
anopc,0.0025130753132320345
studyabroadiit,0.0024470212640470557
IITIPL,0.002406675468199905
BW_IllinoisTech,0.0023658670512545824
Examhook1,0.0023535104385837297
RealTechNewsIIT,0.002302725127905902
Andrew_IIT,0.002265218682055076
IllinoisTechIM,0.002250942374858097
iitcandycampus,0.002227266991448137
AmrMohsen95,0.0022110557744844384
akshith_rock,0.0021839373909297638
usacolumbus69,0.0021139638072267004
ksubramani29,0.0020749791461958113
quinnmcastaneda,0.0020661579583083627
NishitrajRaj,0.0020467708218684794
pradeepgill7,0.0020386853834848226
vijayprakash15,0.0020332985936611977
aakashkumar3163,0.0020285951711711504
shikshasamadhan,0.002028165897259057
FashionPETRAcom,0.0020273143348393825
awelch_iit,0.001982384429646114
Manjeet252002,0.0019601435436541357
KnappCenter,0.0019360597167428378
PsiChi_IIT,0.0019250284618122272
mit98ree1,0.0018877002636193353
azocaro,0.001887389450941632
datti_sunil,0.0018849733704610632
Saurabh009133,0.0018470413939281056
rextechy,0.0018289279794291044
mgarcia810,0.001812331686763402
chicollegenight,0.0018094598154318087
xraymancs,0.001805387069244224
timewar85,0.001802697093990129
aruntayal1,0.0017984322767840447
